id,time,ipa,category,gloss,frequency
cold,-2000,golˈtos,adj,cold,99032
cold,200,ˈkɑldɑz,adj,,
cold,900,ˈt͡ʃæɑld,adj,,
cold,1400,ˈkɔːld,adj,,
cold,final,ˈkəʊld,adj,,
dream,-2000,ˈdʱrowgʱmos,noun,dream,95089
dream,200,ˈdrɑwmɑz,noun,,
dream,900,ˈdræɑːm,noun,,
dream,1400,ˈdrɛːm,noun,,
dream,final,ˈdɹiːm,noun,,
sweet,-2000,ˈsweħdus,adj,sweet,94057
sweet,200,ˈswɔːtuz,adj,,
sweet,900,ˈsweːte,adj,,
sweet,1400,ˈsweːt,adj,,
sweet,final,ˈswiːt,adj,,
quick,-2000,gʷiˈʁʷwos,adj,quick,81548
quick,200,ˈkʷikʷɑz,adj,,
quick,900,ˈkwik,adj,,
quick,1400,ˈkwik,adj,,
quick,final,ˈkwɪk,adj,,
seven,-2000,sepˈtm̩,num,seven,70968
seven,200,ˈseβun,num,,
seven,900,ˈseofon,num,,
seven,1400,ˈsɛvən,num,,
seven,final,ˈsɛvən,num,,
floor,-2000,ˈpleħros,noun,floor,66456
floor,200,ˈɸlɔːrɑz,noun,,
floor,900,ˈfloːr,noun,,
floor,1400,ˈfloːr,noun,,
floor,final,ˈflɔː,noun,,
boat,-2000,ˈbʱojdos,noun,boat,62148
boat,200,ˈbɑjtɑz,noun,,
boat,900,ˈbɑːt,noun,,
boat,1400,ˈbɔːt,noun,,
boat,final,ˈbəʊt,noun,,
fish,-2000,ˈpiskos,noun,fish,61813
fish,200,ˈɸiskɑz,noun,,
fish,900,ˈfiʃ,noun,,
fish,1400,ˈfiʃ,noun,,
fish,final,ˈfɪʃ,noun,,
eight,-2000,okʲˈtoːw,num,eight,61400
eight,200,ˈɑxtɔːw,num,,
eight,900,ˈæɑxtɑ,num,,
eight,1400,ˈæjxt,num,,
eight,final,ˈeɪt,num,,
star,-2000,ħsterˈnoːn,noun,star,60903
star,200,ˈsternɔ̃ː,noun,,
star,900,ˈsteorrɑ,noun,,
star,1400,ˈstɛr,noun,,
share,-2000,skoˈreħ,noun,share,56854
share,200,ˈskɑrɔː,noun,,
share,900,ˈʃɑru,noun,,
share,1400,ˈʃaːr,noun,,
share,final,ˈʃɛə,noun,,
evil,-2000,ħuˈpelos,adj,evil,52175
evil,200,ˈuβilɑz,adj,,
evil,900,ˈyfel,adj,,
evil,1400,ˈivəl,adj,,
evil,final,ˈiːvəl,adj,,
south,-2000,ˈsħunteros,adj,south,50364
south,200,ˈsunθ̠rɑz,adj,,
south,900,ˈsuːθ̠,adj,,
south,1400,ˈsuːθ̠,adj,,
south,final,ˈsaʊθ,adj,,
beer,-2000,bʱewˈsom,noun,beer,48641
beer,200,ˈbewzɑ̃,noun,,
beer,900,ˈbeoːr,noun,,
beer,1400,ˈbeːr,noun,,
beer,final,ˈbɪə,noun,,
wind,-2000,ˈħweχn̩ts,noun,wind,48063
wind,200,ˈwindɑz,noun,,
wind,900,ˈwind,noun,,
wind,1400,ˈwiːnd,noun,,
wind,final,ˈwɪnd,noun,,
foot,-2000,ˈpoːds,noun,foot,44588
foot,200,ˈɸɔːts,noun,,
foot,900,ˈfoːt,noun,,
foot,1400,ˈfoːt,noun,,
nine,-2000,ˈχnewn̩,num,nine,42538
nine,200,ˈnewun,num,,
nine,900,ˈnigon,num,,
nine,1400,ˈniːn,num,,
nine,final,ˈnaɪn,num,,
arm,-2000,ˈħermos,noun,arm,41726
arm,200,ˈɑrmɑz,noun,,
arm,900,ˈæɑrm,noun,,
arm,1400,ˈarm,noun,,
arm,final,ˈɑːm,noun,,
cost,-2000,ˈgʲustus,noun,cost,39485
cost,200,ˈkustuz,noun,,
cost,900,ˈkost,noun,,
cost,final,ˈkɒst,noun,,
warm,-2000,ˈgʷʱormos,adj,warm,38355
warm,200,ˈwɑrmɑz,adj,,
warm,900,ˈwæɑrm,adj,,
warm,1400,ˈwarm,adj,,
warm,final,ˈwɔːm,adj,,
bottle,-2000,ˈbʱoħutlom,noun,bottle,38229
bottle,200,ˈbɔːθ̠lɑ̃,noun,,
bottle,900,ˈbotl,noun,,
bottle,final,ˈbɒtl̩,noun,,
lay,-2000,loˈkus,noun,lay,36984
lay,200,ˈlɑɣuz,noun,,
lay,900,ˈlɑgu,noun,,
lay,1400,ˈlaɣə,noun,,
lay,final,ˈleɪ,noun,,
ghost,-2000,ˈgʲʱojsdos,noun,ghost,35051
ghost,200,ˈɣɑjstɑz,noun,,
ghost,900,ˈgɑːst,noun,,
ghost,1400,ˈgɔːst,noun,,
ghost,final,ˈgəʊst,noun,,
loud,-2000,kʲluˈtos,adj,loud,32757
loud,200,ˈxluːð̠ɑz,adj,,
loud,900,ˈxluːd,adj,,
loud,1400,ˈluːd,adj,,
loud,final,ˈlaʊd,adj,,
finger,-2000,penˈkʷros,noun,finger,26967
finger,200,ˈɸiŋgrɑz,noun,,
finger,900,ˈfiŋger,noun,,
finger,1400,ˈfiŋgər,noun,,
finger,final,ˈfɪŋgəː,noun,,
weather,-2000,ˈwedʱrom,noun,weather,26740
weather,200,ˈweð̠rɑ̃,noun,,
weather,900,ˈweder,noun,,
weather,1400,ˈwɛdər,noun,,
weather,final,ˈwɛðə,noun,,
harm,-2000,ˈpkʲormos,noun,harm,26574
harm,200,ˈxɑrmɑz,noun,,
harm,900,ˈxæɑrm,noun,,
harm,final,ˈhɑːm,noun,,
winter,-2000,ˈħweχn̩tos,noun,winter,24005
winter,200,ˈwintruz,noun,,
winter,900,ˈwinter,noun,,
winter,1400,ˈwintər,noun,,
winter,final,ˈwɪntə,noun,,
horn,-2000,kʲr̩ˈħnom,noun,horn,22716
horn,200,ˈxurnɑ̃,noun,,
horn,900,ˈxorn,noun,,
horn,1400,ˈhɔrn,noun,,
horn,final,ˈhɔːn,noun,,
whore,-2000,ˈkʲeħroːn,noun,whore,20444
whore,200,ˈxɔːrɔ̃ː,noun,,
whore,900,ˈxoːre,noun,,
whore,1400,ˈhoːr,noun,,
whore,final,ˈhɔː,noun,,
ear,-2000,ˈħekʲos,noun,ear,19950
ear,200,ˈɑxɑz,noun,,
ear,900,ˈæɑːr,noun,,
ear,1400,ˈɛːr,noun,,
ear,final,ˈɪə,noun,,
dust,-2000,dʱusˈtom,noun,dust,18820
dust,200,ˈdustɑ̃,noun,,
dust,900,ˈduːst,noun,,
dust,1400,ˈdust,noun,,
dust,final,ˈdʌst,noun,,
wolf,-2000,ˈwl̩kʷos,noun,wolf,18566
wolf,200,ˈwulɸɑz,noun,,
wolf,900,ˈwulf,noun,,
wolf,1400,ˈwulf,noun,,
wolf,final,ˈwʊlf,noun,,
cow,-2000,ˈgʷoːws,noun,cow,18392
cow,200,ˈkɔːz,noun,,
cow,900,ˈkuː,noun,,
cow,1400,ˈkuː,noun,,
cow,final,ˈkaʊ,noun,,
fourth,-2000,kʷetwr̩ˈtoː,adj,fourth,18301
fourth,200,ˈɸeð̠urθ̠ɔːː,adj,,
fourth,900,ˈfeoːrθ̠ɑ,adj,,
fourth,1400,ˈfeːrð̠,adj,,
fourth,final,ˈfɔːθ,adj,,
wheel,-2000,ˈkʷekʷlom,noun,wheel,17795
wheel,200,ˈxʷexʷlɑ̃,noun,,
wheel,900,ˈxweoːl,noun,,
wheel,1400,ˈhweːl,noun,,
wheel,final,ˈwiːl,noun,,
youth,-2000,ħjuχn̩ˈtis,noun,youth,17703
youth,200,ˈjuɣunθ̠iz,noun,,
youth,900,ˈjuguθ̠,noun,,
youth,1400,ˈjuːð̠,noun,,
youth,final,ˈjuːθ,noun,,
wire,-2000,ˈweχiros,noun,wire,16416
wire,200,ˈwiːrɑz,noun,,
wire,900,ˈwiːr,noun,,
wire,1400,ˈwɛːr,noun,,
yard,-2000,ˈgʱordʱos,noun,yard,16138
yard,200,ˈɣɑrð̠ɑz,noun,,
yard,900,ˈjæɑrd,noun,,
yard,1400,ˈjɛːrd,noun,,
yard,final,ˈjɑːd,noun,,
thin,-2000,tn̩ˈħwus,adj,thin,15296
thin,200,ˈθ̠unnuz,adj,,
thin,900,ˈθ̠ynne,adj,,
thin,1400,ˈθ̠in,adj,,
thin,final,ˈθɪn,adj,,
fifth,-2000,penkʷˈtoː,adj,fifth,13690
fifth,200,ˈɸimɸtɔːː,adj,,
fifth,900,ˈfiːftɑ,adj,,
fifth,1400,ˈfift,adj,,
fox,-2000,ˈpukʲsos,noun,fox,13409
fox,200,ˈɸuxsɑz,noun,,
fox,900,ˈfoks,noun,,
fox,1400,ˈfɔks,noun,,
fox,final,ˈfɒks,noun,,
buck,-2000,ˈbʱugʲkos,noun,buck,12711
buck,200,ˈbukkɑz,noun,,
buck,900,ˈbukk,noun,,
buck,1400,ˈbuk,noun,,
buck,final,ˈbʌk,noun,,
thick,-2000,ˈtegus,adj,thick,12143
thick,200,ˈθ̠ekuz,adj,,
thick,900,ˈθ̠ikke,adj,,
thick,1400,ˈθ̠ik,adj,,
thick,final,ˈθɪk,adj,,
ward,-2000,worˈtos,noun,ward,11428
ward,200,ˈwɑrð̠ɑz,noun,,
ward,900,ˈwæɑrd,noun,,
ward,final,ˈwɔːd,noun,,
shell,-2000,ˈskolχjeħ,noun,shell,10381
shell,200,ˈskɑljɔː,noun,,
shell,900,ˈʃell,noun,,
shell,final,ˈʃɛl,noun,,
widow,-2000,χwidʱeˈwoːn,noun,widow,10080
widow,200,ˈwið̠uwɔ̃ː,noun,,
widow,900,ˈwiduwe,noun,,
widow,final,ˈwɪdəʊ,noun,,
knee,-2000,ˈgʲnewom,noun,knee,10000
knee,200,ˈknewɑ̃,noun,,
knee,900,ˈkneoːw,noun,,
knee,1400,ˈkneː,noun,,
corn,-2000,gʲr̩ˈħnom,noun,corn,9781
corn,200,ˈkurnɑ̃,noun,,
corn,900,ˈkorn,noun,,
corn,1400,ˈkɔrn,noun,,
corn,final,ˈkɔːn,noun,,
tale,-2000,dolˈχeħ,noun,tale,9672
tale,200,ˈtɑlɔː,noun,,
tale,900,ˈtɑlu,noun,,
tale,1400,ˈtaːl,noun,,
tale,final,ˈteːl,noun,,
tooth,-2000,ˈʁʷdonts,noun,tooth,9408
tooth,200,ˈtɑnθ̠s,noun,,
tooth,900,ˈtoːθ̠,noun,,
tooth,1400,ˈtoːθ̠,noun,,
tooth,final,ˈtuːθ,noun,,
chin,-2000,ˈgʲenwus,noun,chin,9359
chin,200,ˈkinnuz,noun,,
chin,900,ˈt͡ʃinn,noun,,
chin,1400,ˈt͡ʃin,noun,,
chin,final,ˈt͡ʃɪn,noun,,
nest,-2000,nisˈdom,noun,nest,8803
nest,200,ˈnistɑ̃,noun,,
nest,900,ˈnest,noun,,
nest,1400,ˈnɛst,noun,,
nest,final,ˈnɛst,noun,,
tool,-2000,ˈdowħdʱlom,noun,tool,8496
tool,200,ˈtɔːlɑ̃,noun,,
tool,900,ˈtoːl,noun,,
tool,1400,ˈtoːl,noun,,
ford,-2000,pr̩ˈtus,noun,ford,8320
ford,200,ˈɸurð̠uz,noun,,
ford,900,ˈford,noun,,
ford,final,ˈfɔːd,noun,,
fee,-2000,ˈpekʲu,noun,fee,8109
fee,200,ˈɸexu,noun,,
fee,900,ˈfeox,noun,,
fee,final,ˈfiː,noun,,
broad,-2000,bʱrojˈtos,adj,broad,7798
broad,200,ˈbrɑjð̠ɑz,adj,,
broad,900,ˈbrɑːd,adj,,
broad,1400,ˈbrɔːd,adj,,
broad,final,ˈbɹɔːd,adj,,
oath,-2000,ˈχojtos,noun,oath,7758
oath,200,ˈɑjθ̠ɑz,noun,,
oath,900,ˈɑːθ̠,noun,,
oath,1400,ˈɔːθ̠,noun,,
oath,final,ˈəʊθ,noun,,
sixth,-2000,ˈsekʲtoː,adj,sixth,7566
sixth,200,ˈsextɔːː,adj,,
sixth,900,ˈsikstɑ,adj,,
sixth,1400,ˈsikst,adj,,
sixth,final,ˈsɪksθ,adj,,
mere,-2000,ˈmori,noun,mere,7287
mere,200,ˈmɑri,noun,,
mere,900,ˈmere,noun,,
mere,final,ˈmɪə,noun,,
whale,-2000,ˈkʷalos,noun,whale,7087
whale,200,ˈxʷɑlɑz,noun,,
whale,900,ˈxwæl,noun,,
whale,1400,ˈhwal,noun,,
whale,final,ˈweɪl,noun,,
goose,-2000,ˈgʲʱħens,noun,goose,7019
goose,200,ˈɣɑns,noun,,
goose,900,ˈgoːs,noun,,
goose,1400,ˈgoːs,noun,,
goose,final,ˈguːs,noun,,
deer-animal,-2000,dʱewˈsom,noun,deer-animal,6789
deer-animal,200,ˈdewzɑ̃,noun,,
deer-animal,900,ˈdeoːr,noun,,
deer-animal,1400,ˈdeːr,noun,,
deer-animal,final,ˈdɪə,noun,,
deer-wild,-2000,dʱewˈsos,adj,deer-wild,6789
deer-wild,200,ˈdewzɑz,adj,,
deer-wild,900,ˈdeoːr,adj,,
deer-wild,final,ˈdɪə,adj,,
bare,-2000,bʱoˈsos,adj,bare,6720
bare,200,ˈbɑzɑz,adj,,
bare,900,ˈbær,adj,,
bare,1400,ˈbaːr,adj,,
bare,final,ˈbɛə,adj,,
stream,-2000,ˈsrowmos,noun,stream,6688
stream,200,ˈstrɑwmɑz,noun,,
stream,900,ˈstræɑːm,noun,,
stream,1400,ˈstrɛːm,noun,,
stream,final,ˈstɹiːm,noun,,
seed,-2000,seχˈtis,noun,seed,6336
seed,200,ˈsɛːð̠iz,noun,,
seed,900,ˈsæːd,noun,,
seed,1400,ˈseːd,noun,,
seed,final,ˈsiːd,noun,,
deed,-2000,dʱeχˈtis,noun,deed,6333
deed,200,ˈdɛːð̠iz,noun,,
deed,900,ˈdæːd,noun,,
deed,final,ˈdiːd,noun,,
flood,-2000,ploʁʷˈtus,noun,flood,6263
flood,200,ˈɸlɔːð̠uz,noun,,
flood,900,ˈfloːd,noun,,
flood,1400,ˈfloːd,noun,,
flood,final,ˈflʌd,noun,,
seventh,-2000,septm̩ˈmoː,adj,seventh,5814
seventh,200,ˈseβunð̠ɔːː,adj,,
seventh,900,ˈseofoθ̠ɑ,adj,,
seventh,1400,ˈsɛvəð̠,adj,,
seventh,final,ˈsɛvnθ,adj,,
stall,-2000,ˈstħdʱlos,noun,stall,5456
stall,200,ˈstɑllɑz,noun,,
stall,900,ˈstæɑll,noun,,
stall,final,ˈstɔːl,noun,,
oak,-2000,ˈħejgʲs,noun,oak,5200
oak,200,ˈɑjks,noun,,
oak,900,ˈɑːk,noun,,
oak,1400,ˈɔːk,noun,,
oak,final,ˈəʊk,noun,,
thread,-2000,treχˈtus,noun,thread,4985
thread,200,ˈθ̠rɛːð̠uz,noun,,
thread,900,ˈθ̠ræːd,noun,,
thread,1400,ˈθ̠rɛːd,noun,,
thread,final,ˈθɹɛd,noun,,
sour,-2000,ˈsuχros,adj,sour,4765
sour,200,ˈsuːrɑz,adj,,
sour,900,ˈsuːr,adj,,
sour,1400,ˈsuːr,adj,,
sour,final,ˈsaʊə,adj,,
frost,-2000,prusˈtos,noun,frost,4455
frost,200,ˈɸrustɑz,noun,,
frost,900,ˈforst,noun,,
frost,1400,ˈfrɔst,noun,,
frost,final,ˈfɹɒst,noun,,
eighth,-2000,okʲtoˈwoː,adj,eighth,4350
eighth,200,ˈɑxtuð̠ɔːː,adj,,
eighth,900,ˈæɑxtoθ̠ɑ,adj,,
eighth,1400,ˈæjxtəð̠,adj,,
eighth,final,ˈeɪtθ,adj,,
kin,-2000,gʲn̩ˈχjom,noun,kin,4336
kin,200,ˈkunjɑ̃,noun,,
kin,900,ˈkynn,noun,,
kin,1400,ˈkin,noun,,
kin,final,ˈkɪn,noun,,
lid,-2000,kʲliˈtom,noun,lid,4166
lid,200,ˈxlið̠ɑ̃,noun,,
lid,900,ˈxlid,noun,,
lid,1400,ˈlid,noun,,
lid,final,ˈlɪd,noun,,
doom,-2000,ˈdʱoχmos,noun,doom,3937
doom,200,ˈdɔːmɑz,noun,,
doom,900,ˈdoːm,noun,,
doom,1400,ˈdoːm,noun,,
doom,final,ˈduːm,noun,,
steer,-2000,ˈtawros,noun,steer,3892
steer,200,ˈstewrɑz,noun,,
steer,900,ˈsteoːr,noun,,
steer,1400,ˈsteːr,noun,,
steer,final,ˈstɪə,noun,,
comb,-2000,ˈgʲombʱos,noun,comb,3715
comb,200,ˈkɑmbɑz,noun,,
comb,900,ˈkɑmb,noun,,
comb,1400,ˈkɔːm,noun,,
comb,final,ˈkəʊm,noun,,
beck,-2000,ˈbʱogis,noun,beck,3601
beck,200,ˈbɑkiz,noun,,
beck,900,ˈbæk,noun,,
beck,final,ˈbɛk,noun,,
ninth,-2000,χnewn̩ˈtoː,adj,ninth,3578
ninth,200,ˈnewundɔːː,adj,,
ninth,1400,ˈniəð̠,adj,,
ninth,final,ˈnaɪnθ,adj,,
slack,-2000,ˈslogos,adj,slack,3515
slack,200,ˈslɑkɑz,adj,,
slack,900,ˈslæk,adj,,
slack,final,ˈslæk,adj,,
fax,-2000,ˈpokʲsom,noun,fax,3471
fax,200,ˈɸɑxsɑ̃,noun,,
fax,900,ˈfæɑks,noun,,
fax,1400,ˈfaks,noun,,
fax,final,ˈfæks,noun,,
foam,-2000,ˈpojmos,noun,foam,3315
foam,200,ˈɸɑjmɑz,noun,,
foam,900,ˈfɑːm,noun,,
foam,1400,ˈfɔːm,noun,,
foam,final,ˈfəʊm,noun,,
rib,-2000,ˈχrebʱjom,noun,rib,3294
rib,200,ˈriβjɑ̃,noun,,
rib,900,ˈribb,noun,,
rib,final,ˈɹɪb,noun,,
ox,-2000,uˈksoː,noun,ox,3217
ox,200,ˈuxsɔːː,noun,,
ox,900,ˈoksɑ,noun,,
ox,1400,ˈɔks,noun,,
ox,final,ˈɒks,noun,,
wool,-2000,ħwl̩ˈχneħ,noun,wool,3091
wool,200,ˈwullɔː,noun,,
wool,900,ˈwull,noun,,
wool,1400,ˈwul,noun,,
wool,final,ˈwʊl,noun,,
beaver,-2000,ˈbʱebʱrus,noun,beaver,2862
beaver,200,ˈbeβruz,noun,,
beaver,900,ˈbefer,noun,,
beaver,1400,ˈbɛːvər,noun,,
beaver,final,ˈbiːvə,noun,,
reef,-2000,krewˈpos,adj,reef,2778
reef,200,ˈxrewβɑz,adj,,
reef,900,ˈxreoːf,adj,,
reef,final,ˈɹiːf,adj,,
stool,-2000,ˈstoħlos,noun,stool,2756
stool,200,ˈstɔːlɑz,noun,,
stool,900,ˈstoːl,noun,,
stool,final,ˈstuːl,noun,,
hazel,-2000,ˈkoslos,noun,hazel,2638
hazel,200,ˈxɑslɑz,noun,,
hazel,900,ˈxæsl,noun,,
hazel,1400,ˈhaːzəl,noun,,
hazel,final,ˈheɪzəl,noun,,
thorn,-2000,tr̩ˈnos,noun,thorn,2338
thorn,200,ˈθ̠urnɑz,noun,,
thorn,900,ˈθ̠orn,noun,,
thorn,1400,ˈθ̠ɔrn,noun,,
thorn,final,ˈθɔːn,noun,,
mid,-2000,ˈmedʱjos,adj,mid,2031
mid,200,ˈmið̠jɑz,adj,,
mid,900,ˈmidd,adj,,
mid,final,ˈmɪd,adj,,
marrow,-2000,mosˈgʱom,noun,marrow,2009
marrow,200,ˈmɑzɣɑ̃,noun,,
marrow,900,ˈmæɑrx,noun,,
marrow,1400,ˈmarɔw,noun,,
marrow,final,ˈmæɹəʊ,noun,,
timber,-2000,ˈdemros,noun,timber,1858
timber,200,ˈtimrɑ̃,noun,,
timber,900,ˈtimber,noun,,
timber,final,ˈtɪmbə,noun,,
dew,-2000,ˈdʱowħom,noun,dew,1834
dew,200,ˈdɑwwɑ̃,noun,,
dew,900,ˈdæɑːw,noun,,
dew,1400,ˈdɛw,noun,,
dew,final,ˈd͡ʒuː,noun,,
helm-helmet,-2000,ˈkʲelmos,noun,helm-helmet,1778
helm-helmet,200,ˈxelmɑz,noun,,
helm-helmet,900,ˈxelm,noun,,
helm-helmet,1400,ˈhɛlm,noun,,
helm-helmet,final,ˈhɛlm,noun,,
helm-handle,-2000,ˈkʲelmoː,noun,helm-handle,1778
helm-handle,900,ˈxelmɑ,noun,,
helm-handle,1400,ˈhalm,noun,,
helm-handle,final,ˈhɛlm,noun,,
hedge,-2000,kaˈgʱjeħ,noun,hedge,1777
hedge,200,ˈxɑɣjɔː,noun,,
hedge,900,ˈxejj,noun,,
hedge,1400,ˈhɛd͡ʒ,noun,,
hedge,final,ˈhɛd͡ʒ,noun,,
rye,-2000,ˈwrugʱis,noun,rye,1682
rye,200,ˈruɣiz,noun,,
rye,900,ˈryje,noun,,
rye,1400,ˈriː,noun,,
rye,final,ˈɹaɪ,noun,,
seventy,-2000,sepˈtm̩dkʲomt,num,seventy,1653
seventy,200,ˈseβuntɛːxundɑ̃,num,,
seventy,900,xundˈseofontij,num,,
seventy,1400,ˈsɛvəntiː,num,,
seventy,final,ˈsɛvənti,num,,
broth,-2000,ˈbʱrutom,noun,broth,1462
broth,200,ˈbruθ̠ɑ̃,noun,,
broth,900,ˈbroθ̠,noun,,
broth,1400,ˈbrɔθ̠,noun,,
broth,final,ˈbɹɒθ,noun,,
ey,-2000,ˈħegʱos,noun,ey,1258
ey,200,ˈɑɣɑz,noun,,
ey,900,ˈeje,noun,,
ey,1400,ˈeːɣə,noun,,
ey,final,ˈeɪ,noun,,
acre,-2000,ˈħegʲros,noun,acre,1142
acre,200,ˈɑkrɑz,noun,,
acre,900,ˈæker,noun,,
acre,1400,ˈaːkər,noun,,
acre,final,ˈeɪkə,noun,,
elk,-2000,ˈχelkʲos,noun,elk,1116
elk,200,ˈelxɑz,noun,,
elk,900,ˈeolx,noun,,
elk,1400,ˈɛlk,noun,,
elk,final,ˈɛlk,noun,,
hoof,-2000,ˈkʲoħpos,noun,hoof,1039
hoof,200,ˈxɔːɸɑz,noun,,
hoof,900,ˈxoːf,noun,,
hoof,1400,ˈhuːv,noun,,
bumblebee,-2000,ˈkm̩χelos,noun,bumblebee,1023
bumblebee,200,ˈxumelɑz,noun,,
bumblebee,final,ˈbʌmbəlˌbiː,noun,,
trough,-2000,druˈkos,noun,trough,1011
trough,200,ˈtruɣɑz,noun,,
trough,900,ˈtrog,noun,,
trough,1400,ˈtrɔx,noun,,
trough,final,ˈtɹɒf,noun,,
dole,-2000,ˈdʱajlom,noun,dole,1006
dole,200,ˈdɑjlɑ̃,noun,,
dole,900,ˈdɑːl,noun,,
dole,1400,ˈdɔːl,noun,,
dole,final,ˈdəʊl,noun,,
mead,-2000,ˈmedʱus,noun,mead,967
mead,200,ˈmeð̠uz,noun,,
mead,900,ˈmedu,noun,,
mead,1400,ˈmɛːd,noun,,
mead,final,ˈmiːd,noun,,
bane,-2000,ˈgʷʱonoː,noun,bane,961
bane,200,ˈbɑnɔːː,noun,,
bane,900,ˈbɑnɑ,noun,,
bane,1400,ˈbaːn,noun,,
bane,final,ˈbeɪn,noun,,
ell,-2000,χeˈʁʷleneħ,noun,ell,913
ell,200,ˈɑlinɔː,noun,,
ell,900,ˈeln,noun,,
ell,1400,ˈɛln,noun,,
ell,final,ˈɛl,noun,,
otter,-2000,uˈdros,noun,otter,903
otter,200,ˈutrɑz,noun,,
otter,900,ˈotr,noun,,
otter,1400,ˈɔtər,noun,,
otter,final,ˈɒtə,noun,,
stork,-2000,ˈsr̩gʲos,noun,stork,894
stork,200,ˈsturkɑz,noun,,
stork,900,ˈstork,noun,,
stork,1400,ˈstɔrk,noun,,
stork,final,ˈstɔːk,noun,,
roo,-2000,ˈχroχweħ,noun,roo,765
roo,200,ˈrɔːɔː,noun,,
roo,900,ˈroːw,noun,,
roo,1400,ˈrɔː,noun,,
midge,-2000,muˈχiħ,noun,midge,710
midge,200,ˈmuɣjɔː,noun,,
midge,900,ˈmyjj,noun,,
midge,1400,ˈmidʒ,noun,,
midge,final,ˈmɪd͡ʒ,noun,,
farrow,-2000,ˈporkʲos,noun,farrow,667
farrow,200,ˈɸɑrxɑz,noun,,
farrow,900,ˈfæɑrx,noun,,
farrow,final,ˈfæɹəʊ,noun,,
stead,-2000,ˈstħtis,noun,stead,643
stead,200,ˈstɑð̠iz,noun,,
stead,900,ˈstede,noun,,
stead,1400,ˈstɛːd,noun,,
stead,final,ˈstɛd,noun,,
yoke,-2000,juˈgom,noun,yoke,585
yoke,200,ˈjukɑ̃,noun,,
yoke,900,ˈjok,noun,,
yoke,1400,ˈjɔk,noun,,
yoke,final,ˈjəʊk,noun,,
ware,-2000,woˈros,adj,ware,585
ware,200,ˈwɑrɑz,adj,,
ware,900,ˈwær,adj,,
ware,final,ˈwɛə,adj,,
salve,-2000,solˈpeħ,noun,salve,510
salve,200,ˈsɑlβɔː,noun,,
salve,900,ˈsæɑlf,noun,,
salve,1400,ˈsalv,noun,,
shale,-2000,ˈskolχeħ,noun,shale,444
shale,200,ˈskɑlɔː,noun,,
shale,900,ˈʃæɑlu,noun,,
shale,final,ˈʃeɪl,noun,,
sunder,-2000,sn̩χˈtros,adj,sunder,386
sunder,200,ˈsundrɑz,adj,,
sunder,900,ˈsundor,adj,,
ebb,-2000,ħeˈpjoːn,noun,ebb,374
ebb,200,ˈɑβjɔ̃ː,noun,,
ebb,900,ˈebbɑ,noun,,
ebb,1400,ˈɛb,noun,,
ebb,final,ˈɛb,noun,,
bough,-2000,bʱeħˈgʲʱus,noun,bough,356
bough,200,ˈbɔːɣuz,noun,,
bough,900,ˈboːg,noun,,
bough,final,ˈbaʊ,noun,,
lather,-2000,ˈlowʁʷtrom,noun,lather,346
lather,200,ˈlɑwθ̠rɑ̃,noun,,
lather,900,ˈlæɑːθ̠or,noun,,
lather,final,ˈlɑːðə,noun,,
wort,-2000,ˈwreħds,noun,wort,247
wort,200,ˈwrɔːts,noun,,
wort,900,ˈwyrt,noun,,
wort,1400,ˈwirt,noun,,
wort,final,ˈwɜːt,noun,,
fallow,-2000,polˈχwos,adj,fallow,235
fallow,200,ˈɸɑlwɑz,adj,,
fallow,900,ˈfæɑlu,adj,,
neve,-2000,ˈnepoː,noun,neve,233
neve,200,ˈneɸɔːː,noun,,
neve,900,ˈnefɑ,noun,,
neve,1400,ˈnɛːv,noun,,
neve,final,ˈniːv,noun,,
ream,-2000,ˈrewgʱmn̩,noun,ream,203
ream,200,ˈrɑwmɑz,noun,,
ream,900,ˈræɑːm,noun,,
ream,1400,ˈrɛːm,noun,,
ream,final,ˈɹiːm,noun,,
dere,-2000,ˈdʱorʁʷeħ,noun,dere,199
dere,200,ˈdɑrɔː,noun,,
dere,900,ˈdɑru,noun,,
dere,1400,ˈdeːr,noun,,
dere,final,ˈdɪə,noun,,
bequest,-2000,ˈgʷettis,noun,bequest,189
bequest,200,ˈkʷissiz,noun,,
bequest,1400,ˈkwist,noun,,
bequest,final,bɪˈkwɛst,noun,,
loath,-2000,ˈħlojtos,adj,loath,169
loath,200,ˈlɑjθ̠ɑz,adj,,
loath,900,ˈlɑːθ̠,adj,,
loath,1400,ˈlɔːθ̠,adj,,
loath,final,ˈləʊθ,adj,,
gome,-2000,gʲʱm̩ˈoː,noun,gome,1
gome,200,ˈɣumɔːː,noun,,
gome,900,ˈgumɑ,noun,,
gome,1400,ˈgoːm,noun,,
gome,final,ˈgʌm,noun,,
lede,-2000,ˈχlewdʱis,noun,lede,1
lede,200,ˈliwð̠iz,noun,,
lede,900,ˈleoːd,noun,,
lede,1400,ˈleːd,noun,,
lede,final,ˈliːd,noun,,
theed,-2000,tewˈteħ,noun,theed,1
theed,200,ˈθ̠ewð̠ɔː,noun,,
theed,900,ˈθ̠eoːd,noun,,
theed,1400,ˈθ̠øːd,noun,,
theed,final,ˈθiːd,noun,,
wath,-2000,ˈwadʱom,noun,wath,1
wath,200,ˈwɑð̠ɑ̃,noun,,
wath,900,ˈwæːd,noun,,
wath,1400,ˈwaθ̠,noun,,
wath,final,ˈwæθ,noun,,
sweven,-2000,ˈswepnos,noun,sweven,1
